Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Tax,Total_Amount
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,186.7569,3921.8949
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,22.17114,465.59394
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,104.8635,2202.1335
FDX07,19.2,Regular,0.06613202877895108,Fruits and Vegetables,182.095,OUT010,1998,Medium,Tier 3,Grocery Store,732.38,36.619,768.999
NCD19,8.93,Low Fat,0.06613202877895108,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,49.735260000000004,1044.44046
FDP36,10.395,Regular,0.06613202877895108,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,27.83044,584.4392399999999
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,17.17764,360.73044
FDP10,12.857645184135976,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,201.13818000000003,4223.90178
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.5986,53.829930000000004,1130.4285300000001
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.535,235.52675,4946.06175
FDY07,11.8,Low Fat,0.06613202877895108,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,75.80133,1591.82793
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,109.35764999999999,2296.5106499999997
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,79.46323000000001,1668.72783
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,107.26038000000001,2252.4679800000004
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,98.8713,2076.2972999999997
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,77.36596,1624.68516
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,81.09444,1702.98324
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,35.91991,754.3181099999999
DRI11,12.857645184135976,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,115.1834,2418.8514
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,137.42112,2885.84352
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,188.7543,3963.8403
FDW12,12.857645184135976,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,203.20216000000002,4267.24536
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,79.36336,1666.63056
FDC37,12.857645184135976,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,10.719380000000001,225.10698
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,203.90125,4281.92625
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,41.94540000000001,880.8534
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,53.264,1118.5439999999999
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,15.44656,324.37775999999997
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344,8.92172,187.35612
FDC14,12.857645184135976,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,6.291810000000001,132.12801000000002
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868,8.18934,171.97614
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,137.08822,2878.85262
FDP33,18.7,Low Fat,0.06613202877895108,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,153.40032000000002,3221.4067200000004
FDO23,17.85,Low Fat,0.06613202877895108,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028,108.72514000000001,2283.22794
